Rid: 0, Time taken: 978 milliseconds
Rid: 1, Time taken: 1465 milliseconds
Rid: 2, Time taken: 1473 milliseconds
Rid: 3, Time taken: 2323 milliseconds
Rid: 5, Time taken: 2332 milliseconds
Rid: 6, Time taken: 2334 milliseconds
Rid: 4, Time taken: 2565 milliseconds
Rid: 7, Time taken: 2907 milliseconds
Rid: 8, Time taken: 2913 milliseconds
Rid: 9, Time taken: 2915 milliseconds
Rid: 10, Time taken: 3405 milliseconds
Rid: 11, Time taken: 3463 milliseconds
Rid: 12, Time taken: 3546 milliseconds
Rid: 18, Time taken: 3701 milliseconds
Rid: 20, Time taken: 3709 milliseconds
Rid: 19, Time taken: 3915 milliseconds
Rid: 14, Time taken: 3944 milliseconds
Rid: 15, Time taken: 3947 milliseconds
Rid: 16, Time taken: 3959 milliseconds
Rid: 17, Time taken: 4070 milliseconds
Rid: 21, Time taken: 4080 milliseconds
Rid: 22, Time taken: 4123 milliseconds
Rid: 23, Time taken: 4128 milliseconds
Rid: 24, Time taken: 4130 milliseconds
Rid: 25, Time taken: 4132 milliseconds
Rid: 26, Time taken: 4136 milliseconds
Rid: 27, Time taken: 4140 milliseconds
Rid: 28, Time taken: 4143 milliseconds
Rid: 36, Time taken: 4483 milliseconds
Rid: 37, Time taken: 4485 milliseconds
Rid: 38, Time taken: 4489 milliseconds
Rid: 39, Time taken: 4491 milliseconds
Rid: 40, Time taken: 4494 milliseconds
Rid: 41, Time taken: 4494 milliseconds
Rid: 34, Time taken: 4606 milliseconds
Rid: 35, Time taken: 4612 milliseconds
Rid: 49, Time taken: 4627 milliseconds
Rid: 42, Time taken: 4632 milliseconds
Rid: 50, Time taken: 4640 milliseconds
Rid: 43, Time taken: 4644 milliseconds
Rid: 44, Time taken: 4727 milliseconds
Rid: 45, Time taken: 4728 milliseconds
Rid: 46, Time taken: 4730 milliseconds
Rid: 47, Time taken: 4733 milliseconds
Rid: 48, Time taken: 4736 milliseconds
